               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08886,            0.097697,            0.062986,             0.10195,              0.3572,            0.090988,            0.037888,            0.064986,            0.071829,            0.060423,             0.07018,           0.0033134,           0.0033134
                   1,            0.065168,            0.073673,            0.059222,             0.14354,             0.37762,             0.18884,            0.085662,            0.054355,            0.051236,            0.057514,            0.040136,           0.0066028,           0.0066028
                   2,            0.062055,            0.065647,              0.0564,             0.15957,             0.29791,             0.22112,             0.10889,            0.051205,            0.052554,            0.053495,            0.010048,           0.0098483,           0.0098483
                   3,            0.052187,            0.062994,            0.052309,             0.23656,             0.47338,             0.33035,             0.17841,            0.039794,            0.042858,            0.049716,            0.009802,            0.009802,            0.009802
                   4,            0.043713,            0.061254,            0.048929,             0.25446,             0.58284,             0.37114,             0.23843,             0.03349,            0.042489,            0.046677,            0.009802,            0.009802,            0.009802
                   5,            0.038899,            0.058191,            0.046712,             0.33622,                0.61,             0.42872,             0.29303,            0.028528,            0.039976,            0.044539,            0.009736,            0.009736,            0.009736
                   6,            0.035365,            0.055573,            0.044757,             0.36826,             0.59701,             0.45698,             0.27126,            0.027067,            0.037641,            0.043425,             0.00967,             0.00967,             0.00967
                   7,              0.0347,             0.05502,            0.043849,             0.42271,             0.57338,             0.47403,             0.33379,            0.026894,             0.03706,            0.042627,            0.009604,            0.009604,            0.009604
                   8,            0.033062,            0.052939,            0.042942,              0.4648,             0.60248,             0.52201,             0.36462,            0.022807,            0.034389,            0.041511,            0.009538,            0.009538,            0.009538
                   9,            0.029629,            0.051603,            0.041938,             0.50051,             0.61656,             0.57138,             0.44441,            0.019618,            0.034824,            0.040293,            0.009472,            0.009472,            0.009472
                  10,            0.028253,            0.051605,            0.040566,             0.54426,             0.62931,              0.6124,             0.46185,            0.021404,            0.033465,            0.038671,            0.009406,            0.009406,            0.009406
                  11,            0.028746,            0.048508,            0.039838,             0.56334,             0.64001,             0.64182,             0.50407,             0.02253,            0.034398,            0.036982,             0.00934,             0.00934,             0.00934
                  12,             0.02925,            0.048159,            0.037745,             0.64104,             0.68931,              0.6886,             0.54138,            0.019196,            0.032667,            0.035212,            0.009274,            0.009274,            0.009274
                  13,            0.027682,            0.048263,            0.036177,             0.70843,              0.7271,             0.74643,              0.6178,            0.018449,            0.032155,            0.032474,            0.009208,            0.009208,            0.009208
                  14,            0.027693,            0.047817,            0.033818,             0.70094,             0.78354,               0.765,             0.55555,            0.020289,            0.032349,            0.030266,            0.009142,            0.009142,            0.009142
                  15,            0.025344,            0.045319,            0.031293,             0.71847,             0.80483,             0.80297,             0.66783,             0.01856,            0.031925,            0.027346,            0.009076,            0.009076,            0.009076
                  16,            0.025498,            0.046681,            0.029439,             0.73179,              0.8398,             0.81661,              0.6623,            0.019655,            0.031604,            0.026016,             0.00901,             0.00901,             0.00901
                  17,            0.025475,            0.045031,            0.027346,             0.77624,             0.84808,             0.85108,             0.71028,            0.016755,            0.030479,            0.023805,            0.008944,            0.008944,            0.008944
                  18,            0.025714,            0.046703,             0.02586,             0.81371,             0.83838,             0.86992,             0.70262,            0.018071,            0.030509,             0.02262,            0.008878,            0.008878,            0.008878
                  19,            0.026073,            0.044978,            0.024481,             0.84852,             0.85264,             0.89985,             0.73181,            0.018117,            0.030249,             0.02007,            0.008812,            0.008812,            0.008812
                  20,            0.025712,            0.044299,            0.022791,             0.89426,             0.86123,             0.93071,             0.76159,            0.017205,            0.029406,            0.018045,            0.008746,            0.008746,            0.008746
                  21,            0.024517,            0.046652,            0.022433,             0.91489,             0.89389,             0.94728,             0.77644,            0.016856,             0.02937,            0.016837,             0.00868,             0.00868,             0.00868
                  22,             0.02479,            0.045117,            0.019895,             0.92045,              0.9035,             0.95406,             0.81655,            0.015932,            0.029176,            0.015124,            0.008614,            0.008614,            0.008614
                  23,            0.024589,            0.043919,            0.018099,             0.94048,             0.88948,             0.95772,             0.80988,            0.015961,            0.028395,            0.013832,            0.008548,            0.008548,            0.008548
                  24,            0.024034,            0.041971,            0.017007,             0.94116,             0.90684,             0.96334,             0.82204,            0.014088,            0.027129,            0.012641,            0.008482,            0.008482,            0.008482
                  25,            0.023848,            0.042991,            0.016302,             0.94718,             0.93465,             0.97085,              0.8198,            0.016361,            0.028887,            0.010826,            0.008416,            0.008416,            0.008416
                  26,            0.021647,            0.042201,            0.015329,             0.95608,             0.93345,             0.97401,              0.8335,            0.016465,            0.028779,            0.010089,             0.00835,             0.00835,             0.00835
                  27,            0.022323,             0.04176,             0.01436,              0.9379,             0.92516,             0.97171,             0.84667,            0.015322,            0.028174,            0.010763,            0.008284,            0.008284,            0.008284
                  28,            0.022257,            0.042186,            0.014056,             0.93149,             0.91856,             0.96796,             0.85569,            0.013215,            0.027416,            0.011287,            0.008218,            0.008218,            0.008218
                  29,             0.02202,            0.042403,            0.013522,              0.9306,             0.94387,             0.97101,             0.86794,            0.013901,            0.026784,           0.0099645,            0.008152,            0.008152,            0.008152
                  30,            0.021726,            0.041921,            0.013368,             0.93883,             0.90795,             0.96219,             0.85729,            0.013917,            0.027359,            0.011383,            0.008086,            0.008086,            0.008086
                  31,            0.021389,            0.041157,            0.012738,              0.9419,             0.91531,             0.96973,             0.86791,            0.012973,            0.025942,             0.01009,             0.00802,             0.00802,             0.00802
                  32,            0.021185,            0.042716,            0.012792,             0.94526,             0.93282,             0.97329,             0.87629,            0.013135,            0.026578,           0.0091453,            0.007954,            0.007954,            0.007954
                  33,            0.020804,            0.040102,            0.011889,             0.95168,             0.94123,             0.97911,             0.87181,            0.012278,            0.025371,           0.0083618,            0.007888,            0.007888,            0.007888
